model_id,task_id,base_model,dataset_id
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task045,045,,Lots-of-LoRAs/task045_miscellaneous_sentence_paraphrasing
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task893,893,,Lots-of-LoRAs/task893_gap_fill_the_blank_coreference_resolution
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task936,936,,Lots-of-LoRAs/task936_defeasible_nli_snli_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1425,1425,,Lots-of-LoRAs/task1425_country_iso_numeric
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1533,1533,,Lots-of-LoRAs/task1533_daily_dialog_formal_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task093,093,,Lots-of-LoRAs/task093_conala_normalize_lists
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task389,389,,Lots-of-LoRAs/task389_torque_generate_temporal_question
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task670,670,,Lots-of-LoRAs/task670_ambigqa_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task461,461,,Lots-of-LoRAs/task461_qasper_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task113,113,,Lots-of-LoRAs/task113_count_frequency_of_letter
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task066,066,,Lots-of-LoRAs/task066_timetravel_binary_consistency_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task497,497,,Lots-of-LoRAs/task497_extract_all_numbers_from_list_in_order
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task343,343,,Lots-of-LoRAs/task343_winomt_classification_profession_anti
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task908,908,,Lots-of-LoRAs/task908_dialogre_identify_familial_relationships
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1606,1606,,Lots-of-LoRAs/task1606_ethos_text_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task381,381,,Lots-of-LoRAs/task381_boolq_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task355,355,,Lots-of-LoRAs/task355_casino_classification_negotiation_other_need
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task850,850,,Lots-of-LoRAs/task850_synthetic_longest_palindrome
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1557,1557,,Lots-of-LoRAs/task1557_jfleg_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task356,356,,Lots-of-LoRAs/task356_casino_classification_negotiation_self_need
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1394,1394,,Lots-of-LoRAs/task1394_meta_woz_task_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1428,1428,,Lots-of-LoRAs/task1428_country_surface_area
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task087,087,,Lots-of-LoRAs/task087_new_operator_addsub_arithmetic
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task582,582,,Lots-of-LoRAs/task582_naturalquestion_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task770,770,,Lots-of-LoRAs/task770_pawsx_english_text_modification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task035,035,,Lots-of-LoRAs/task035_winogrande_question_modification_person
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1317,1317,,Lots-of-LoRAs/task1317_country_calling_code
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1203,1203,,Lots-of-LoRAs/task1203_atomic_classification_xreact
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1444,1444,,Lots-of-LoRAs/task1444_round_power_of_two
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1585,1585,,Lots-of-LoRAs/task1585_root09_hypernym_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1508,1508,,Lots-of-LoRAs/task1508_wordnet_antonyms
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task740,740,,Lots-of-LoRAs/task740_lhoestq_answer_generation_quantity
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task429,429,,Lots-of-LoRAs/task429_senteval_tense
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1427,1427,,Lots-of-LoRAs/task1427_country_region_in_world
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task328,328,,Lots-of-LoRAs/task328_jigsaw_classification_insult
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task955,955,,Lots-of-LoRAs/task955_wiki_auto_style_transfer
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task130,130,,Lots-of-LoRAs/task130_scan_structured_text_generation_command_action_long
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task161,161,,Lots-of-LoRAs/task161_count_words_containing_letter
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task507,507,,Lots-of-LoRAs/task507_position_of_all_numerical_elements_in_list
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1502,1502,,Lots-of-LoRAs/task1502_hatexplain_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task505,505,,Lots-of-LoRAs/task505_count_all_numerical_elements_in_list
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task633,633,,Lots-of-LoRAs/task633_dbpedia_14_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1645,1645,,Lots-of-LoRAs/task1645_medical_question_pair_dataset_text_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1486,1486,,Lots-of-LoRAs/task1486_cell_extraction_anem_dataset
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1146,1146,,Lots-of-LoRAs/task1146_country_capital
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1380,1380,,Lots-of-LoRAs/task1380_quarel_correct_option_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1088,1088,,Lots-of-LoRAs/task1088_array_of_products
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task033,033,,Lots-of-LoRAs/task033_winogrande_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task085,085,,Lots-of-LoRAs/task085_unnatural_addsub_arithmetic
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1294,1294,,Lots-of-LoRAs/task1294_wiki_qa_answer_verification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task080,080,,Lots-of-LoRAs/task080_piqa_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task489,489,,Lots-of-LoRAs/task489_mwsc_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1721,1721,,Lots-of-LoRAs/task1721_civil_comments_obscenity_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1713,1713,,Lots-of-LoRAs/task1713_convai3_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task721,721,,Lots-of-LoRAs/task721_mmmlu_answer_generation_medical_genetics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1403,1403,,Lots-of-LoRAs/task1403_check_validity_date_mmddyyyy
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task746,746,,Lots-of-LoRAs/task746_yelp_restaurant_review_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task728,728,,Lots-of-LoRAs/task728_mmmlu_answer_generation_professional_accounting
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task889,889,,Lots-of-LoRAs/task889_goemotions_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1583,1583,,Lots-of-LoRAs/task1583_bless_meronym_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1665,1665,,Lots-of-LoRAs/task1665_trainglecopa_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task708,708,,Lots-of-LoRAs/task708_mmmlu_answer_generation_high_school_physics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1419,1419,,Lots-of-LoRAs/task1419_mathqa_gain
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task963,963,,Lots-of-LoRAs/task963_librispeech_asr_next_word_prediction
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task454,454,,Lots-of-LoRAs/task454_swag_incorrect_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task308,308,,Lots-of-LoRAs/task308_jeopardy_answer_generation_all
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task828,828,,Lots-of-LoRAs/task828_copa_commonsense_cause_effect
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task579,579,,Lots-of-LoRAs/task579_socialiqa_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task753,753,,Lots-of-LoRAs/task753_svamp_addition_question_answering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1404,1404,,Lots-of-LoRAs/task1404_date_conversion
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1201,1201,,Lots-of-LoRAs/task1201_atomic_classification_xintent
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task901,901,,Lots-of-LoRAs/task901_freebase_qa_category_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1567,1567,,Lots-of-LoRAs/task1567_propara_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1319,1319,,Lots-of-LoRAs/task1319_country_by_barcode_prefix
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task858,858,,Lots-of-LoRAs/task858_inquisitive_span_detection
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1200,1200,,Lots-of-LoRAs/task1200_atomic_classification_xeffect
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task492,492,,Lots-of-LoRAs/task492_mwsc_incorrect_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task675,675,,Lots-of-LoRAs/task675_google_wellformed_query_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task094,094,,Lots-of-LoRAs/task094_conala_calculate_mean
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1506,1506,,Lots-of-LoRAs/task1506_celebrity_minimal_dob_span
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task694,694,,Lots-of-LoRAs/task694_mmmlu_answer_generation_econometrics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task614,614,,Lots-of-LoRAs/task614_glucose_cause_event_detection
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1390,1390,,Lots-of-LoRAs/task1390_wscfixed_coreference
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1355,1355,,Lots-of-LoRAs/task1355_sent_comp_summarization
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task714,714,,Lots-of-LoRAs/task714_mmmlu_answer_generation_human_sexuality
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task457,457,,Lots-of-LoRAs/task457_matres_conditional_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1565,1565,,Lots-of-LoRAs/task1565_triviaqa_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task834,834,,Lots-of-LoRAs/task834_mathdataset_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task642,642,,Lots-of-LoRAs/task642_esnli_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task732,732,,Lots-of-LoRAs/task732_mmmlu_answer_generation_public_relations
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1605,1605,,Lots-of-LoRAs/task1605_ethos_text_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task326,326,,Lots-of-LoRAs/task326_jigsaw_classification_obscene
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1292,1292,,Lots-of-LoRAs/task1292_yelp_review_full_text_categorization
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task716,716,,Lots-of-LoRAs/task716_mmmlu_answer_generation_jurisprudence
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1479,1479,,Lots-of-LoRAs/task1479_organization_entity_extraction_btc_corpus
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1147,1147,,Lots-of-LoRAs/task1147_country_currency
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task153,153,,Lots-of-LoRAs/task153_tomqa_find_location_hard_clean
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1495,1495,,Lots-of-LoRAs/task1495_adverse_drug_event_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1196,1196,,Lots-of-LoRAs/task1196_atomic_classification_oeffect
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1489,1489,,Lots-of-LoRAs/task1489_sarcasmdetection_tweet_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task294,294,,Lots-of-LoRAs/task294_storycommonsense_motiv_text_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task157,157,,Lots-of-LoRAs/task157_count_vowels_and_consonants
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task147,147,,Lots-of-LoRAs/task147_afs_argument_similarity_gay_marriage
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1197,1197,,Lots-of-LoRAs/task1197_atomic_classification_oreact
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task754,754,,Lots-of-LoRAs/task754_svamp_common-division_question_answering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1599,1599,,Lots-of-LoRAs/task1599_smcalflow_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1420,1420,,Lots-of-LoRAs/task1420_mathqa_general
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1285,1285,,Lots-of-LoRAs/task1285_kpa_keypoint_matching
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task587,587,,Lots-of-LoRAs/task587_amazonfood_polarity_correction_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1338,1338,,Lots-of-LoRAs/task1338_peixian_equity_evaluation_corpus_sentiment_classifier
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task116,116,,Lots-of-LoRAs/task116_com2sense_commonsense_reasoning
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task713,713,,Lots-of-LoRAs/task713_mmmlu_answer_generation_human_aging
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task431,431,,Lots-of-LoRAs/task431_senteval_object_count
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task067,067,,Lots-of-LoRAs/task067_abductivenli_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task934,934,,Lots-of-LoRAs/task934_turk_simplification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task617,617,,Lots-of-LoRAs/task617_amazonreview_category_text_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task696,696,,Lots-of-LoRAs/task696_mmmlu_answer_generation_elementary_mathematics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task846,846,,Lots-of-LoRAs/task846_pubmedqa_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task933,933,,Lots-of-LoRAs/task933_wiki_auto_style_transfer
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task865,865,,Lots-of-LoRAs/task865_mawps_addsub_question_answering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task671,671,,Lots-of-LoRAs/task671_ambigqa_text_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1398,1398,,Lots-of-LoRAs/task1398_obqa_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1518,1518,,Lots-of-LoRAs/task1518_limit_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task628,628,,Lots-of-LoRAs/task628_xlwic_word_with_different_meaning_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1286,1286,,Lots-of-LoRAs/task1286_openbookqa_question_answering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1596,1596,,Lots-of-LoRAs/task1596_event2mind_text_generation_2
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task298,298,,Lots-of-LoRAs/task298_storycloze_correct_end_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task645,645,,Lots-of-LoRAs/task645_summarization
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task903,903,,Lots-of-LoRAs/task903_deceptive_opinion_spam_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task594,594,,Lots-of-LoRAs/task594_sciq_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task413,413,,Lots-of-LoRAs/task413_mickey_en_sentence_perturbation_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task719,719,,Lots-of-LoRAs/task719_mmmlu_answer_generation_management
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task672,672,,Lots-of-LoRAs/task672_nummersense
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1418,1418,,Lots-of-LoRAs/task1418_bless_semantic_relation_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task475,475,,Lots-of-LoRAs/task475_yelp_polarity_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task357,357,,Lots-of-LoRAs/task357_casino_classification_negotiation_small_talk
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1387,1387,,Lots-of-LoRAs/task1387_anli_r3_entailment
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1711,1711,,Lots-of-LoRAs/task1711_poki_text_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task304,304,,Lots-of-LoRAs/task304_numeric_fused_head_resolution
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task750,750,,Lots-of-LoRAs/task750_aqua_multiple_choice_answering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1320,1320,,Lots-of-LoRAs/task1320_country_domain_tld
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task034,034,,Lots-of-LoRAs/task034_winogrande_question_modification_object
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task692,692,,Lots-of-LoRAs/task692_mmmlu_answer_generation_computer_security
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1406,1406,,Lots-of-LoRAs/task1406_kth_smallest_element
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task119,119,,Lots-of-LoRAs/task119_semeval_2019_task10_geometric_mathematical_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task211,211,,Lots-of-LoRAs/task211_logic2text_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task363,363,,Lots-of-LoRAs/task363_sst2_polarity_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1087,1087,,Lots-of-LoRAs/task1087_two_number_sum
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task083,083,,Lots-of-LoRAs/task083_babi_t1_single_supporting_fact_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1385,1385,,Lots-of-LoRAs/task1385_anli_r1_entailment
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1308,1308,,Lots-of-LoRAs/task1308_amazonreview_category_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1656,1656,,Lots-of-LoRAs/task1656_gooaq_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task892,892,,Lots-of-LoRAs/task892_gap_reverse_coreference_resolution
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task499,499,,Lots-of-LoRAs/task499_extract_and_add_all_numbers_from_list
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1409,1409,,Lots-of-LoRAs/task1409_dart_text_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1207,1207,,Lots-of-LoRAs/task1207_atomic_classification_atlocation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task564,564,,Lots-of-LoRAs/task564_discofuse_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task325,325,,Lots-of-LoRAs/task325_jigsaw_classification_identity_attack
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task206,206,,Lots-of-LoRAs/task206_collatz_conjecture
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task890,890,,Lots-of-LoRAs/task890_gcwd_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1520,1520,,Lots-of-LoRAs/task1520_qa_srl_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task703,703,,Lots-of-LoRAs/task703_mmmlu_answer_generation_high_school_geography
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task318,318,,Lots-of-LoRAs/task318_stereoset_classification_gender
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task366,366,,Lots-of-LoRAs/task366_synthetic_return_primes
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task335,335,,Lots-of-LoRAs/task335_hateeval_classification_aggresive_en
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task600,600,,Lots-of-LoRAs/task600_find_the_longest_common_substring_in_two_strings
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task477,477,,Lots-of-LoRAs/task477_cls_english_dvd_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task138,138,,Lots-of-LoRAs/task138_detoxifying-lms_classification_fluency
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task291,291,,Lots-of-LoRAs/task291_semeval_2020_task4_commonsense_validation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task074,074,,Lots-of-LoRAs/task074_squad1.1_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1389,1389,,Lots-of-LoRAs/task1389_hellaswag_completion
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task192,192,,Lots-of-LoRAs/task192_hotpotqa_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task316,316,,Lots-of-LoRAs/task316_crows-pairs_classification_stereotype
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1609,1609,,Lots-of-LoRAs/task1609_xquad_en_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task296,296,,Lots-of-LoRAs/task296_storycloze_correct_end_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task666,666,,Lots-of-LoRAs/task666_mmmlu_answer_generation_astronomy
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1582,1582,,Lots-of-LoRAs/task1582_bless_hypernym_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1728,1728,,Lots-of-LoRAs/task1728_web_nlg_data_to_text
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task701,701,,Lots-of-LoRAs/task701_mmmlu_answer_generation_high_school_computer_science
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task275,275,,Lots-of-LoRAs/task275_enhanced_wsc_paraphrase_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task107,107,,Lots-of-LoRAs/task107_splash_question_to_sql
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task079,079,,Lots-of-LoRAs/task079_conala_concat_strings
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1157,1157,,Lots-of-LoRAs/task1157_bard_analogical_reasoning_rooms_for_containers
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1167,1167,,Lots-of-LoRAs/task1167_penn_treebank_coarse_pos_tagging
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task403,403,,Lots-of-LoRAs/task403_creak_commonsense_inference
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task359,359,,Lots-of-LoRAs/task359_casino_classification_negotiation_vouch_fair
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task517,517,,Lots-of-LoRAs/task517_emo_classify_emotion_of_dialogue
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task351,351,,Lots-of-LoRAs/task351_winomt_classification_gender_identifiability_anti
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task964,964,,Lots-of-LoRAs/task964_librispeech_asr_text_auto_completion
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task904,904,,Lots-of-LoRAs/task904_hate_speech_offensive_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1148,1148,,Lots-of-LoRAs/task1148_maximum_ascii_value
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task879,879,,Lots-of-LoRAs/task879_schema_guided_dstc8_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task636,636,,Lots-of-LoRAs/task636_extract_and_sort_unique_alphabets_in_a_list
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1509,1509,,Lots-of-LoRAs/task1509_evalution_antonyms
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task207,207,,Lots-of-LoRAs/task207_max_element_lists
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task228,228,,Lots-of-LoRAs/task228_arc_answer_generation_easy
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task209,209,,Lots-of-LoRAs/task209_stancedetection_classification
